ID_SAMPLE,PREDICTOR,EST_COEF,STD_ERROR,Z_VALUE,P_VALUE,MODEL_LOG_LIK_LM,MODEL_N,WALD_TEST_SDEPENDANCE_PVALUE,LR_TEST_SDEPENDANCE_PVALUE
A99_Wtill99q4_creW_b97q4_s03q4,P_LOANS_ARS_RATE_W,-1.25E-04,0.00604457,-0.020687683,0.983494794,-52.35273846,87,0.088285631,0.125779739
A99_Wtill99q4_creW_b97q4_s03q4,APRSpNF_RATE_W,-0.001812849,0.006363445,-0.28488485,0.775732363,-52.35273846,87,0.088285631,0.125779739
A99_Wtill99q4_creW_b97q4_s03q4,APR_USD_RATE,-0.00596697,0.002416445,-2.469317378,0.01353711,-52.35273846,87,0.088285631,0.125779739
A99_Wtill99q4_creW_b97q4_s03q4,APR_RATE_W,-0.004579965,0.003258331,-1.405616975,0.159837893,-52.35273846,87,0.088285631,0.125779739
A99_Wtill99q4_creW_b97q4_s03q4,rho,-0.242132583,0.142053972,1.704511171,0.088285631,-52.35273846,87,0.088285631,0.125779739
"A99_Wtill99q4_creW_b97q4_s03q4","(Intercept)",1.5629725515778286,0.3224199260191431,4.847630141460394,1.2494506591576027e-6,"-40.2732636977885",78,0.15248412325181293,"0.186450139828516"
"A99_Wtill99q4_creW_b97q4_s03q4","ActivoN",3.553322345497593e-8,1.9411667244992503e-8,1.8305085805621462,0.06717392488568663,"-40.2732636977885",78,0.15248412325181293,"0.186450139828516"
"A99_Wtill99q4_creW_b97q4_s03q4","C8Est_w",0.003415298568631196,0.004057090339035144,0.8418098398675099,0.3998944032209313,"-40.2732636977885",78,0.15248412325181293,"0.186450139828516"
"A99_Wtill99q4_creW_b97q4_s03q4","CAR_IRR_3A6",-0.016262936766829186,0.006497253894086457,-2.503047754010516,0.012312892930318453,"-40.2732636977885",78,0.15248412325181293,"0.186450139828516"
"A99_Wtill99q4_creW_b97q4_s03q4","P_ROA",0.00315376201798115,0.017802248898314228,0.17715525920322311,0.8593864377151053,"-40.2732636977885",78,0.15248412325181293,"0.186450139828516"
"A99_Wtill99q4_creW_b97q4_s03q4","P_DEP_ARS_RATE",-0.007050892303998317,0.019138090043695904,-0.3684219422052978,0.7125586388014888,"-40.2732636977885",78,0.15248412325181293,"0.186450139828516"
"A99_Wtill99q4_creW_b97q4_s03q4","P_LOANS_ARS_RATE_W",0.002849868656514833,0.005921130010211045,0.48130486099785136,0.6302998427440034,"-40.2732636977885",78,0.15248412325181293,"0.186450139828516"
"A99_Wtill99q4_creW_b97q4_s03q4","APRSpNF_RATE_W",-0.004561899618600098,0.005956635987649675,-0.765851669979266,0.44376456572538414,"-40.2732636977885",78,0.15248412325181293,"0.186450139828516"
"A99_Wtill99q4_creW_b97q4_s03q4","APR_USD_RATE",-0.006782673477805696,0.0023681020252564423,-2.86418127490567,0.004180886713874843,"-40.2732636977885",78,0.15248412325181293,"0.186450139828516"
"A99_Wtill99q4_creW_b97q4_s03q4","APR_RATE_W",-0.0053488493823436,0.003146006533904249,-1.7002028841006835,0.08909276997273885,"-40.2732636977885",78,0.15248412325181293,"0.186450139828516"
"A99_Wtill99q4_creW_b97q4_s03q4","rho",-0.1967100817520921,0.13748143815028308,1.4308119292225128,0.15248412325181349,"-40.2732636977885",78,0.15248412325181293,"0.186450139828516"
"A99_Wtill98q4_creW_b97q4_s03q4","(Intercept)",1.5629725515778286,0.3224199260191431,4.847630141460394,1.2494506591576027e-6,"-40.2732636977885",78,0.15248412325181293,"0.186450139828516"
"A99_Wtill98q4_creW_b97q4_s03q4","ActivoN",3.553322345497593e-8,1.9411667244992503e-8,1.8305085805621462,0.06717392488568663,"-40.2732636977885",78,0.15248412325181293,"0.186450139828516"
"A99_Wtill98q4_creW_b97q4_s03q4","C8Est_w",0.003415298568631196,0.004057090339035144,0.8418098398675099,0.3998944032209313,"-40.2732636977885",78,0.15248412325181293,"0.186450139828516"
"A99_Wtill98q4_creW_b97q4_s03q4","CAR_IRR_3A6",-0.016262936766829186,0.006497253894086457,-2.503047754010516,0.012312892930318453,"-40.2732636977885",78,0.15248412325181293,"0.186450139828516"
"A99_Wtill98q4_creW_b97q4_s03q4","P_ROA",0.00315376201798115,0.017802248898314228,0.17715525920322311,0.8593864377151053,"-40.2732636977885",78,0.15248412325181293,"0.186450139828516"
"A99_Wtill98q4_creW_b97q4_s03q4","P_DEP_ARS_RATE",-0.007050892303998317,0.019138090043695904,-0.3684219422052978,0.7125586388014888,"-40.2732636977885",78,0.15248412325181293,"0.186450139828516"
"A99_Wtill98q4_creW_b97q4_s03q4","P_LOANS_ARS_RATE_W",0.002849868656514833,0.005921130010211045,0.48130486099785136,0.6302998427440034,"-40.2732636977885",78,0.15248412325181293,"0.186450139828516"
