"","FECHA_Q","FECHA_A","IDENT_ACREEDORA","IDENT_DEUDORA","PRESTAMOS","IDENT","A_ActivoN","A_APRestamos","A_GRUPO_ID_UNI","D_ActivoN","D_APRestamos","D_GRUPO_ID_UNI","_merge","W_A_A","W_A_PR","FECHA_D","W_D_A","W_D_A_w","W_D_PR","W_D_PR_w","weight"
"849",1998 Q1,1998,75,7,4500,7,370078.65625,165915.328125,3,11715611,5761325.5,3,3,0.0121595775708556,0.0271222684532404,1998-01-01,0.000384102895623073,0.000384102895623073,0.000781070266384631,0.000781070266384631,2.71222684532404
"850",1998 Q1,1998,75,44,145,44,370078.65625,165915.328125,3,3970464.25,3296498.75,4,3,0.000391808600397781,0.000873939774464816,1998-01-01,3.65196574421134e-05,3.65196574421134e-05,4.39860632468481e-05,4.39860632468481e-05,0.0873939774464816
"851",1998 Q1,1998,75,61,413.700012207031,61,370078.65625,165915.328125,3,455969,136553,3,3,0.0011178704444319,0.00249344063922763,1998-01-01,0.000907298526726663,0.000907298526726663,0.00302959303371608,0.00302959303371608,0.249344063922763
"852",1998 Q1,1998,79,44,63,44,128032.3359375,63681.33203125,3,3970464.25,3296498.75,4,3,0.000492063176352531,0.000989300897344947,1998-01-01,1.58671628014417e-05,1.58671628014417e-05,1.91111848835135e-05,1.91111848835135e-05,0.0989300897344947
"853",1998 Q3,1998,79,44,125.5,44,140954.328125,72851,3,4778496,3706185,4,3,0.000890359340701252,0.00172269425820559,1998-07-01,2.62634930550121e-05,2.62634930550121e-05,3.38623140123673e-05,3.38623140123673e-05,0.172269425820559
"854",1998 Q1,1998,83,44,437,44,636839.6875,239502.328125,5,3970464.25,3296498.75,4,3,0.000686200975906104,0.00182461692020297,1998-01-01,0.000110062697785906,0.000110062697785906,0.000132564891828224,0.000132564891828224,0.182461692020297
"855",1998 Q2,1998,83,44,860,44,670302,247410.671875,5,4399586.5,3464912.75,4,3,0.00128300383221358,0.00347600202076137,1998-04-01,0.000195472908671945,0.000195472908671945,0.000248202501097694,0.000248202501097694,0.347600202076137
"856",1998 Q3,1998,83,44,398,44,637099,243117.328125,5,4778496,3706185,4,3,0.000624706677626818,0.00163706962484866,1998-07-01,8.32898076623678e-05,8.32898076623678e-05,0.000107388055766933,0.000107388055766933,0.163706962484866
"857",1998 Q1,1998,86,44,655.5,44,175543.328125,95118,5,3970464.25,3296498.75,4,3,0.00373412086628377,0.0068914401344955,1998-01-01,0.000165094039402902,0.000165094039402902,0.000198847337742336,0.000198847337742336,0.68914401344955
"858",1998 Q2,1998,86,44,693.799987792969,44,186538.328125,94228,5,4399586.5,3464912.75,4,3,0.00371934287250042,0.00736299157142639,1998-04-01,0.000157696631504223,0.000157696631504223,0.000200235925149173,0.000200235925149173,0.736299157142639
